year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2010,7,Plaquemines Parish,LA,bonnie,LO,2,1,1,1,19609.82,21798.724,25,1012,7.5,0.036893204,7.7,203100,7718,9270,55083600,342
2017,10,Plaquemines Parish,LA,nate,H1,4,1,1,1,11137.92,11573.907,75,983,8.5,0.011789182,16.1,57,8759,10094,20984700,119
2012,8,Pointe Coupee Parish,LA,isaac,TS,18,1,1,1,1185174.119,1113558.335,55,982,3,0.011045259,11.9,114100,8942,11136,17962500,123
2017,8,Rapides Parish,LA,harvey,TD,13,1,1,1,639473.212,474711.948,30,998,3.5,0.002034252,15.6,200,48032,57515,16088400,117
2019,7,Red River Parish,LA,barry,TS,2,1,1,1,2582,5824,35,1006,1.5,0,20.1,11,3334,4190,0,0
2010,7,St. Charles Parish,LA,bonnie,LO,2,1,1,1,1806863.02,2004514.95,25,1012,1.5,0.118660433,11,170200,18460,19678,422102200,2335
2010,7,St. James Parish,LA,bonnie,LO,2,1,1,1,45411.62,43940.641,20,1013,1.5,0.007068408,11.3,116600,7455,8347,9845700,59
2012,8,Terrebonne Parish,LA,isaac,H1,16,1,1,1,6872,6970,65,970.5,9.5,0.086339795,12.8,128500,39226,43850,584719600,3786
2010,8,Washington Parish,LA,five,LO,2,1,1,1,35645.377,39852.45,25,1009,1.5,0.002326483,22.1,84400,17292,20632,4984900,48
2011,9,Washington Parish,LA,lee,EX,2,1,1,1,16507.558,38553.165,40,995,0.857142857,0.002583856,23.3,82900,17444,20899,5732700,54
2019,10,Washington Parish,LA,olga,EX,2,1,1,1,37380.638,39040.997,45,993,0.6,9.28E-05,19.7,33,17337,21548,280500,2
2017,6,Webster Parish,LA,cindy,TD,2,1,1,1,0,0,30,1000,0.75,0.000306373,18.8,3,15854,19584,833500,6
2011,9,West Baton Rouge Parish,LA,lee,EX,95,1,1,1,5449.21,3953.45,40,994,1,0.011066508,11.4,132000,8510,9217,19656800,102
2012,8,West Baton Rouge Parish,LA,isaac,TS,84,1,2,12,5449.21,5085.532,55,980,1.5,0.009389671,12.1,135500,8700,9372,17063300,88
2012,8,West Feliciana Parish,LA,isaac,TS,6,1,1,1,724571,721835,55,985,1.5,0.002546024,10.3,191000,3991,5106,2203900,13
