year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2018,11,Bay County,FL,michael,H5,11,1,1,2,400196.509,388217.023,140,919.5,6.75,0.021004048,10.5,356,70199,102266,433873100,2148
2018,12,Bay County,FL,michael,H5,11,1,1,3,400196.509,353154.538,140,919.5,6.75,0.019547064,10.5,356,70199,102266,404218500,1999
2019,1,Bay County,FL,michael,H5,11,1,1,4,400196.509,382534.812,140,919.5,6.75,0.017405589,10.5,356,70199,102266,355232900,1780
2019,2,Bay County,FL,michael,H5,11,1,1,5,400196.509,371144.939,140,919.5,6.75,0.016241957,10.5,356,70199,102266,332866800,1661
2019,3,Bay County,FL,michael,H5,11,1,1,6,400196.509,338211.816,140,919.5,6.75,0.013044414,10.5,356,70199,102266,264462300,1334
2019,4,Bay County,FL,michael,H5,11,1,1,7,400196.509,203336.912,140,919.5,6.75,0.012623941,10.5,356,70199,102266,259257400,1291
2019,5,Bay County,FL,michael,H5,11,1,1,8,400196.509,146649.843,140,919.5,6.75,0.011264741,10.5,356,70199,102266,231933000,1152
2019,6,Bay County,FL,michael,H5,11,1,1,9,400196.509,212999.768,140,919.5,6.75,0.009436176,10.5,356,70199,102266,194037900,965
2019,7,Bay County,FL,michael,H5,11,1,1,10,400196.509,355835.984,140,919.5,6.75,0.007206696,10.5,356,70199,102266,148326800,737
2019,8,Bay County,FL,michael,H5,11,1,1,11,400196.509,477784.87,140,919.5,6.75,0.003930925,10.5,356,70199,102266,82357800,402
2019,10,Bay County,FL,nestor,EX,3,1,1,1,456099.626,472185.335,40,999,6.857142857,0.002454384,10.5,356,70199,102266,53605100,251
2019,11,Bay County,FL,nestor,EX,3,1,1,2,456099.626,264033.492,40,999,6.857142857,0.002366378,10.5,356,70199,102266,51749900,242
2019,12,Bay County,FL,nestor,EX,3,1,1,3,456099.626,460232.143,40,999,6.857142857,0.002327264,10.5,356,70199,102266,51168400,238
2016,9,Brevard County,FL,julia,TS,11,1,1,1,676783.003,565559.995,35,1010,3.2,0.018580442,10.1,1373,224373,272437,980499200,5062
2016,10,Brevard County,FL,julia,TS,11,1,1,2,676783.003,515310,35,1010,3.2,0.017435224,10.1,1373,224373,272437,926698000,4750
2016,11,Brevard County,FL,julia,TS,11,1,1,3,676783.003,439936,35,1010,3.2,0.01638911,10.1,1373,224373,272437,861946200,4465
2016,12,Brevard County,FL,julia,TS,11,1,1,4,676783.003,584830,35,1010,3.2,0.01619457,10.1,1373,224373,272437,848356600,4412
2017,1,Brevard County,FL,julia,TS,11,1,1,5,676783.003,652613.386,35,1010,3.2,0.016055965,9.4,1536,227223,274602,847735400,4409
2017,2,Brevard County,FL,julia,TS,11,1,1,6,676783.003,641028.771,35,1010,3.2,0.015527928,9.4,1536,227223,274602,824136300,4264
2017,3,Brevard County,FL,julia,TS,11,1,1,7,676783.003,618166.15,35,1010,3.2,0.015473303,9.4,1536,227223,274602,815468400,4249
2017,4,Brevard County,FL,julia,TS,11,1,1,8,676783.003,508462.784,35,1010,3.2,0.015025382,9.4,1536,227223,274602,793126000,4126
2017,5,Brevard County,FL,julia,TS,11,1,1,9,676783.003,526263.514,35,1010,3.2,0.01450827,9.4,1536,227223,274602,773589600,3984
2017,6,Brevard County,FL,julia,TS,11,1,1,10,676783.003,533260.807,35,1010,3.2,0.014442721,9.4,1536,227223,274602,778837800,3966
2017,7,Brevard County,FL,julia,TS,11,1,1,11,676783.003,728030.193,35,1010,3.2,0.013892834,9.4,1536,227223,274602,752591600,3815
2017,9,Charlotte County,FL,irma,H1,7,1,1,1,14800.497,14111.902,80,942,2.666666667,0.039159531,8.3,632,74884,102657,837466700,4020
2017,10,Charlotte County,FL,irma,H1,7,1,1,2,14800.497,14224.787,80,942,2.666666667,0.039753743,8.3,632,74884,102657,862056800,4081
2017,11,Charlotte County,FL,irma,H1,7,1,1,3,14800.497,13731.908,80,942,2.666666667,0.038916002,8.3,632,74884,102657,834892400,3995
2017,12,Charlotte County,FL,irma,H1,7,1,1,4,14800.497,14004.494,80,942,2.666666667,0.038263343,8.3,632,74884,102657,821602200,3928
2018,1,Charlotte County,FL,irma,H1,7,1,1,5,14800.497,13056.506,80,942,2.666666667,0.037505321,7.5,619,76150,103372,807077200,3877
2018,2,Charlotte County,FL,irma,H1,7,1,1,6,14800.497,13862.018,80,942,2.666666667,0.036625005,7.5,619,76150,103372,790302900,3786
2018,3,Charlotte County,FL,irma,H1,7,1,1,7,14800.497,18092.327,80,942,2.666666667,0.037456952,7.5,619,76150,103372,809473000,3872
2017,9,Citrus County,FL,irma,TS,5,1,1,1,906212.004,775754.996,65,967,1,0.010631145,11.7,149,62488,78825,137694900,838
2017,10,Citrus County,FL,irma,TS,5,1,1,2,906212.004,758609.003,65,967,1,0.010808754,11.7,149,62488,78825,140295100,852
2017,11,Citrus County,FL,irma,TS,5,1,1,3,906212.004,175327.004,65,967,1,0.010694577,11.7,149,62488,78825,138430000,843
2017,12,Citrus County,FL,irma,TS,5,1,1,4,906212.004,328451.996,65,967,1,0.010859499,11.7,149,62488,78825,140393600,856
2018,1,Citrus County,FL,irma,TS,5,1,1,5,906212.004,914004.004,65,967,1,0.010200341,11.1,143,62762,79115,133532700,807
2017,9,Collier County,FL,irma,H3,2,1,1,1,1310.37,1108.799,100,936,2.666666667,0.031561742,8.4,10072,138131,207403,1362872900,6546
2017,10,Collier County,FL,irma,H3,2,1,1,2,1310.37,1377.673,100,936,2.666666667,0.031021731,8.4,10072,138131,207403,1349587500,6434
2017,9,DeSoto County,FL,irma,H1,2,1,1,1,18792.77,17686.889,80,955,1,0.001266751,20.9,126,11744,14999,3020200,19
2017,10,DeSoto County,FL,irma,H1,2,1,1,2,18792.77,19151.932,80,955,1,0.00120008,20.9,126,11744,14999,2955200,18
2012,5,Duval County,FL,beryl,TS,2,1,1,1,1006245.598,1161296.685,50,996,2.5,0.024218977,12.2,161200,330302,388497,1873893700,9409
2012,6,Duval County,FL,beryl,TS,2,1,1,2,1006245.598,1254864.066,50,996,2.5,0.024780114,12.2,161200,330302,388497,1917629000,9627
2019,10,Gadsden County,FL,nestor,EX,2,1,1,1,8461.177,9904.892,40,1000,0.857142857,0,17.6,193,17080,19866,0,0
2019,11,Gadsden County,FL,nestor,EX,2,1,1,2,8461.177,10188.685,40,1000,0.857142857,0,17.6,193,17080,19866,0,0
2012,5,Hamilton County,FL,beryl,TD,3,1,1,1,19126.675,20681.292,30,1004,12,0.001915375,15.9,72300,4473,5743,963200,11
2012,6,Hamilton County,FL,beryl,TD,3,1,1,2,19126.675,17322.69,30,1004,12,0.002263625,15.9,72300,4473,5743,933200,13
2012,7,Hamilton County,FL,beryl,TD,3,1,1,3,19126.675,20289.679,30,1004,12,0.001915375,15.9,72300,4473,5743,915200,11
2016,6,Hamilton County,FL,colin,TS,2,1,1,1,1,2145,45,1002,0.5,0.00157867,21.7,35,4717,5701,480000,9
2016,7,Hamilton County,FL,colin,TS,2,1,1,2,1,5751,45,1002,0.5,0.001403263,21.7,35,4717,5701,540000,8
2017,9,Hamilton County,FL,irma,TS,2,1,1,1,8530,7115,50,977,1,0.001207938,21,42,4551,5795,555000,7
2017,10,Hamilton County,FL,irma,TS,2,1,1,2,8530,9257,50,977,1,0.001207938,21,42,4551,5795,555000,7
